timestamp,probability_gt_threshold,confidence,betting_action,risk_level,target,bet_amount,status,result,actual,profit_loss,bankroll_before,bankroll_after,reason,model_type
2025-12-15T22:29:52.319692,0.6837,54.67999999999999,BET,LOW,2.0,100.0,completed,win,2.11,100.0,56500.0,56600.0,High probability: 68.37% with confidence 54.68%,bayesian_sequence
2025-12-15T22:30:06.870820,0.6542,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.04,-100.0,56600.0,56500.0,High probability: 65.42% with confidence 54.68%,bayesian_sequence
2025-12-15T22:30:20.892804,0.6036,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.07,-100.0,56500.0,56400.0,High probability: 60.36% with confidence 54.68%,bayesian_sequence
2025-12-15T22:30:37.941207,0.5555,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,loss,1.38,-100.0,56400.0,56300.0,Moderate probability: 55.55% with confidence 54.68%,bayesian_sequence
2025-12-15T22:32:12.239914,0.5523,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,5.37,100.0,56300.0,56400.0,Moderate probability: 55.23% with confidence 54.68%,bayesian_sequence
2025-12-15T22:59:06.670053,0.5576,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,2.56,100.0,56400.0,56500.0,Moderate probability: 55.76% with confidence 54.68%,bayesian_sequence
2025-12-15T22:59:59.202989,0.553,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,6.81,100.0,56500.0,56600.0,Moderate probability: 55.30% with confidence 54.68%,bayesian_sequence
2025-12-15T23:08:35.664324,0.569,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,9.87,100.0,56600.0,56700.0,Moderate probability: 56.90% with confidence 54.68%,bayesian_sequence
2025-12-15T23:09:02.130790,0.5858,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,3.19,100.0,56700.0,56800.0,Moderate probability: 58.58% with confidence 54.68%,bayesian_sequence
2025-12-15T23:09:16.762152,0.5613,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,loss,1.12,-100.0,56800.0,56700.0,Moderate probability: 56.13% with confidence 54.68%,bayesian_sequence
2025-12-15T23:18:47.165859,0.5698,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,3.87,100.0,56700.0,56800.0,Moderate probability: 56.98% with confidence 54.68%,bayesian_sequence
2025-12-15T23:19:12.657614,0.5866,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,3.23,100.0,56800.0,56900.0,Moderate probability: 58.66% with confidence 54.68%,bayesian_sequence
2025-12-15T23:19:55.761509,0.6025,54.67999999999999,BET,LOW,2.0,100.0,completed,win,13.58,100.0,56900.0,57000.0,High probability: 60.25% with confidence 54.68%,bayesian_sequence
2025-12-15T23:20:15.611302,0.6177,54.67999999999999,BET,LOW,2.0,100.0,completed,win,2.06,100.0,57000.0,57100.0,High probability: 61.77% with confidence 54.68%,bayesian_sequence
2025-12-15T23:21:02.892161,0.6547,54.67999999999999,BET,LOW,2.0,100.0,completed,win,18.63,100.0,57100.0,57200.0,High probability: 65.47% with confidence 54.68%,bayesian_sequence
2025-12-15T23:21:25.771657,0.6672,54.67999999999999,BET,LOW,2.0,100.0,completed,win,2.59,100.0,57200.0,57300.0,High probability: 66.72% with confidence 54.68%,bayesian_sequence
2025-12-15T23:21:44.255447,0.6386,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.21,-100.0,57300.0,57200.0,High probability: 63.86% with confidence 54.68%,bayesian_sequence
2025-12-15T23:21:53.137108,0.5888,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,loss,1.01,-100.0,57200.0,57100.0,Moderate probability: 58.88% with confidence 54.68%,bayesian_sequence
2025-12-15T23:22:17.967054,0.6272,54.67999999999999,BET,LOW,2.0,100.0,completed,win,2.54,100.0,57100.0,57200.0,High probability: 62.72% with confidence 54.68%,bayesian_sequence
2025-12-15T23:22:51.565613,0.6638,54.67999999999999,BET,LOW,2.0,100.0,completed,win,8.81,100.0,57200.0,57300.0,High probability: 66.38% with confidence 54.68%,bayesian_sequence
2025-12-15T23:23:07.586899,0.6127,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.1,-100.0,57300.0,57200.0,High probability: 61.27% with confidence 54.68%,bayesian_sequence
2025-12-15T23:23:47.033707,0.6273,54.67999999999999,BET,LOW,2.0,100.0,completed,win,7.59,100.0,57200.0,57300.0,High probability: 62.73% with confidence 54.68%,bayesian_sequence
2025-12-15T23:24:21.132610,0.6412,54.67999999999999,BET,LOW,2.0,100.0,completed,win,8.78,100.0,57300.0,57400.0,High probability: 64.12% with confidence 54.68%,bayesian_sequence
2025-12-15T23:24:47.053167,0.6771,54.67999999999999,BET,LOW,2.0,100.0,completed,win,3.93,100.0,57400.0,57500.0,High probability: 67.71% with confidence 54.68%,bayesian_sequence
